objectid,title,description,subject,materials,tools,difficulty,cost,date,creator,youtubeid,source,filename,filesize,display_template,object_location,image_alt_text,format,language,rights,rightsstatement
demo_0001,Pressed Flower Book Mark,Pressed flowers placed in laminate sleeves and laminated; Flower Book Mark,pressed flowers; bookmark lamintor sleeves; laminator,pressed flowers; bookmark lamintor sleeves; laminator,laminator,Easy,$$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,bkmark.jpg,,jpg,,Pressed flowers placed in laminate sleeves and laminated; Flower Book Mark,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0002,Gnome Bottle Topper,Felt and faux beard gnome bottle topper,gnome; bottle topper,felt; faux fur; wood bead; scrap fabric,hot glue gun,Intermediate,$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,bottletopper.jpg,,jpg,,Felt and faux beard gnome bottle topper,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0003,Book Title Ceiling Tiles,Ceiling tiles painted with young adult book covers for new Teen department furniture fundraiser,book; ceiling tile; book cover,ceiling tile; reference images; carbon paper; plaster of paris,paint brush; scraper,Intermediate,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,ceilingtiles.jpg,,jpg,,Ceiling tiles painted with young adult book covers for new Teen department furniture fundraiser,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0004,Recycled CD Planter,"Recycled discarded CDs cut, glued and grouted onto a planter",disco planter; planter; recycled; cd,recycled cds; hot glue; plaster of paris; terra cotta planter,hot water kettle; hot glue gun; tin snips,Intermediate,$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,discoplanter.jpg,,jpg,,"Recycled discarded CDs cut, glued and grouted onto a planter",image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0005,Thumbtack Dragon Egg,Styrofoam egg covered in thumbtacks,dragon egg; thumbtack egg,styrofoam egg; thumbtacks; modge podge,na,Easy,$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,dragonegg.jpg,181 kb,jpg,,Styrofoam egg covered in thumbtacks,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0006,Wooden Fireworks,wooden 2x2s painted and in patriotic theme; Fireworks,fireworks; scrap wood; recycled; wood,wooden 2x2s; paint; twine,opt. hot glue gun,Easy,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,fireworks.jpg,,jpg,,wooden 2x2s painted and in patriotic theme; Fireworks,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0007,Sock Gnome,Sock Gnome holding a coffee cup,gnome; coffee gnome; sock,white sock; seasonal sock; faux fur; wooden bead; rice; polyfil; hot glue; mini coffee cup; twine; scrap fabric; felt,hot glue gun; scissors,Intermediate,$$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,gnome.jpg,133 kb,jpg,,Sock Gnome holding a coffee cup,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0008,Wooden Home Sign,Four 4x4 blocks spelling H-O-M-E with interchangeable O,wood; block; scrap wood,4x4 wooden blocks; stencils; acrylic paint,paint brushes/sponges,Easy,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,homesign.jpg,,jpg,,Four 4x4 blocks spelling H-O-M-E with interchangeable O,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0009,Pom Pom Bouquet,Yarn and yarn pom poms made to create a floral bouquet,pom pom; bouquet; yarn,yarn; pom pom maker; bamboo skewers; hot glue,pompom maker; hot glue gun; scissors,Easy,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,pompombouquet.jpg,,jpg,,Yarn and yarn pom poms made to create a floral bouquet,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0010,Flower Pot Face,Terra cotta planter with cricut cut face shapes and scrap fabric bow; Pothead,pothead; planter; flower pot,terra cotta planter; vinyl; scrap fabric; opt rhinestones,hot glue gun,Easy,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,pothead.jpg,,jpg,,Terra cotta planter with cricut cut face shapes and scrap fabric bow; Pothead,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
